fund_id,fund_name,manager,strategy,vintage_year,commitment,reported_at
F-1001,Pinehurst Infrastructure Fund I,Pinehurst Advisors,Infrastructure,2010,"USD 10,000,000",2026-05-27
F-1002,Harborview Venture Capital Fund I,Harborview Equity,Venture Capital,2014,"¥1,125,000,000 JPY",2025-02-13
F-1003,Vesper Growth Equity Fund VII,Vesper Ventures,Growth Equity,2013,"£12,500,000 GBP",2026-05-16
F-1004,Longleaf Growth Equity Fund III,Longleaf Holdings,Growth Equity,2017,"$15,000,000 USD",2025-11-03
F-1005,Thornbury Private Credit Fund X,Thornbury Group,Private Credit,2008,"$250,000 USD",2025-04-16
F-1006,Vesper Private Credit Fund VII,Vesper Ventures,Private Credit,2010,"¥150,000,000 JPY",2026-04-21
F-1007,Underwood Fund of Funds Fund X,Underwood Partners,Fund of Funds,2012,"$20,000,000 USD",2026-06-03
F-1008,Bellamy Secondaries Fund VI,Bellamy Group,Secondaries,2010,"$500,000 USD",2025-12-28
F-1009,Redstone Buyout Fund XII,Redstone Advisors,Buyout,2009,"$1,500,000 USD",2025-04-24
F-1010,Wren Hollow Growth Equity Fund VII,Wren Hollow Capital,Growth Equity,2009,"¥37,500,000 JPY",2025-05-16
F-1011,Wren Hollow Infrastructure Fund VII,Wren Hollow Capital,Infrastructure,2019,"€40,000,000 EUR",2025-06-15
F-1012,Harborview Venture Capital Fund III,Harborview Equity,Venture Capital,2016,"~$1,000,000 USD",2026-05-26
F-1013,Stonebridge Growth Equity Fund IV,Stonebridge Equity,Growth Equity,2016,"$2,500,000 USD",2025-04-04
F-1014,Blackwater Infrastructure Fund V,Blackwater Ventures,Infrastructure,2022,"$500,000 USD",2026-08-05
F-1015,Granite Peak Growth Equity Fund V,Granite Peak Partners,Growth Equity,2016,"£2,000,000 GBP",2025-01-04
F-1016,Marlowe Secondaries Fund VIII,Marlowe Ventures,Secondaries,2023,"$2,000,000 USD",2025-10-24
